section,reach,pass,length_mm,weight_g,sampledate
CC,L,1,120,14.5,1990-08-16
CC,U,1,56,1.77,1992-09-02
CC,U,1,49,1.39,1992-09-02
CC,U,1,53,2.01,1992-09-02
CC,U,1,65,2.43,1992-09-02
CC,U,1,66,2.72,1992-09-02
CC,U,1,65,2.85,1992-09-02
CC,U,1,108,11.35,1992-09-02
CC,U,1,69,2.99,1992-09-02
CC,U,1,71,3.53,1992-09-02
CC,U,1,134,21.52,1992-09-02
CC,U,1,87,5.5,1992-09-02
CC,U,1,51,1.48,1992-09-02
CC,U,1,107,11.59,1992-09-02
CC,U,1,134,21.9,1992-09-02
CC,U,1,45,0.97,1992-09-02
CC,U,1,98,7.77,1992-09-02
CC,U,1,59,1.89,1992-09-02
CC,U,1,106,10.12,1992-09-02
CC,U,1,109,11.41,1992-09-02
CC,U,1,160,33.84,1992-09-02
CC,U,1,57,1.55,1992-09-02
CC,U,1,102,9.25,1992-09-02
CC,U,1,133,21.17,1992-09-02
CC,U,1,156,34.26,1992-09-02
CC,U,1,57,1.4,1992-09-02
CC,U,1,133,19.71,1992-09-02
CC,U,1,152,32.56,1992-09-02
CC,U,1,97,7.8,1992-09-02
CC,U,1,61,2.35,1992-09-02
CC,U,1,108,11.18,1992-09-02
CC,U,1,137,22.44,1992-09-02
CC,U,1,136,21.5,1992-09-02
CC,U,1,98,7.74,1992-09-02
CC,U,1,135,22.6,1992-09-02
CC,U,1,187,53.12,1992-09-02
CC,U,1,68,2.85,1992-09-02
CC,U,1,90,6.26,1992-09-02
CC,U,1,64,2.31,1992-09-02
CC,U,1,73,3.57,1992-09-02
CC,U,1,51,1.47,1992-09-02
CC,U,1,72,3.78,1992-09-02
CC,U,1,110,12.1,1992-09-02
CC,U,1,52,1.57,1992-09-02
CC,U,1,102,9.13,1992-09-02
CC,U,1,57,1.99,1992-09-02
CC,U,1,137,23.82,1992-09-02
CC,U,1,94,7.59,1992-09-02
CC,U,1,68,2.67,1992-09-02
CC,U,1,105,10.36,1992-09-02
CC,U,1,149,27.41,1992-09-02
CC,U,1,161,39.1,1992-09-02
CC,U,1,60,2.48,1992-09-02
CC,U,1,63,3.13,1992-09-02
CC,U,1,44,0.81,1992-09-02
CC,U,1,71,3.7,1992-09-02
CC,U,1,71,3.26,1992-09-02
CC,U,1,52,1.4,1992-09-02
CC,U,1,95,8.01,1992-09-02
CC,U,1,95,7.91,1992-09-02
CC,U,1,71,3.36,1992-09-02
CC,U,1,104,9.8,1992-09-02
CC,U,1,66,3.3,1992-09-02
CC,U,1,132,20.41,1992-09-02
CC,U,1,151,33.11,1992-09-02
CC,U,1,128,23.9,1992-09-02
CC,U,1,101,8.95,1992-09-02
CC,U,1,120,15.35,1992-09-02
CC,U,1,100,9.76,1992-09-02
CC,U,1,49,1.2,1992-09-02
CC,U,1,126,18.55,1992-09-02
CC,U,1,100,9.32,1992-09-02
CC,U,1,53,1.6,1992-09-02
CC,U,1,54,1.59,1992-09-02
CC,U,1,59,2.15,1992-09-02
CC,U,1,55,1.72,1992-09-02
CC,U,1,68,3.53,1992-09-02
CC,U,1,64,2.78,1992-09-02
CC,U,1,118,15.63,1992-09-02
CC,U,1,56,1.87,1992-09-02
CC,U,1,95,7.86,1992-09-02
CC,U,1,101,9.79,1992-09-02
CC,U,1,77,5.2,1992-09-02
CC,U,1,106,10.67,1992-09-02
CC,U,1,106,9.99,1992-09-02
CC,U,1,137,20.68,1992-09-02
CC,U,1,114,12.35,1992-09-02
CC,U,1,164,38.53,1992-09-02
CC,U,1,136,20.07,1992-09-02
CC,U,1,113,12.5,1992-09-02
CC,U,1,192,60.3,1992-09-02
CC,U,1,97,9.09,1992-09-02
CC,U,1,58,1.89,1992-09-02
CC,U,1,61,2.51,1992-09-02
CC,U,1,117,15.21,1992-09-02
CC,U,1,57,1.49,1992-09-02
CC,U,1,111,10.56,1992-09-02
CC,U,1,103,10.45,1992-09-02
CC,U,1,114,13.58,1992-09-02
CC,U,1,148,32.5,1992-09-02
CC,U,1,145,25.5,1992-09-02
CC,U,2,64,2.83,1992-09-02
CC,U,2,123,16.61,1992-09-02
CC,U,2,61,2.45,1992-09-02
CC,U,2,64,2.8,1992-09-02
CC,U,2,105,9.88,1992-09-02
CC,U,2,53,1.43,1992-09-02
CC,U,2,57,1.5,1992-09-02
CC,U,2,65,2.77,1992-09-02
CC,U,2,55,1.59,1992-09-02
CC,U,2,65,2.81,1992-09-02
CC,U,2,93,6.91,1992-09-02
CC,U,2,44,0.92,1992-09-02
CC,U,2,55,1.65,1992-09-02
CC,U,2,62,2.54,1992-09-02
CC,U,2,67,3.16,1992-09-02
CC,U,2,52,1.44,1992-09-02
CC,U,2,65,2.47,1992-09-02
CC,U,2,59,2.09,1992-09-02
CC,U,2,60,1.96,1992-09-02
CC,U,2,153,31.24,1992-09-02
CC,U,1,47,NA,1993-09-02
CC,U,1,56,NA,1993-09-02
CC,U,1,104,NA,1993-09-02
CC,U,1,110,NA,1993-09-02
CC,U,1,117,NA,1993-09-02
CC,U,1,109,NA,1993-09-02
CC,U,1,92,NA,1993-09-02
CC,U,1,105,NA,1993-09-02
CC,U,1,136,NA,1993-09-02
CC,U,1,111,NA,1993-09-02
CC,U,1,105,NA,1993-09-02
CC,U,1,122,NA,1993-09-02
CC,U,1,57,NA,1993-09-02
CC,U,1,52,NA,1993-09-02
CC,U,1,167,NA,1993-09-02
CC,U,1,125,NA,1993-09-02
CC,U,1,95,NA,1993-09-02
CC,U,1,112,NA,1993-09-02
CC,U,1,104,NA,1993-09-02
CC,U,1,118,NA,1993-09-02
CC,U,1,56,NA,1993-09-02
CC,U,1,45,NA,1993-09-02
CC,U,1,45,NA,1993-09-02
CC,U,1,52,NA,1993-09-02
CC,U,1,57,NA,1993-09-02
CC,U,1,106,NA,1993-09-02
CC,U,1,141,NA,1993-09-02
CC,U,1,186,NA,1993-09-02
CC,U,1,128,NA,1993-09-02
CC,U,1,60,NA,1993-09-02
CC,U,1,110,NA,1993-09-02
CC,U,1,136,NA,1993-09-02
CC,U,1,56,NA,1993-09-02
CC,U,1,41,NA,1993-09-02
CC,U,1,108,NA,1993-09-02
CC,U,1,57,NA,1993-09-02
CC,U,1,48,NA,1993-09-02
CC,U,1,88,NA,1993-09-02
CC,U,1,110,NA,1993-09-02
CC,U,1,118,NA,1993-09-02
CC,U,1,124,NA,1993-09-02
CC,U,1,163,NA,1993-09-02
CC,U,1,125,NA,1993-09-02
CC,U,1,41,NA,1993-09-02
CC,U,1,123,NA,1993-09-02
CC,U,1,125,NA,1993-09-02
CC,U,1,114,NA,1993-09-02
CC,U,1,56,NA,1993-09-02
CC,U,1,60,NA,1993-09-02
CC,U,1,169,NA,1993-09-02
CC,U,1,98,NA,1993-09-02
CC,U,1,58,NA,1993-09-02
CC,U,1,53,NA,1993-09-02
CC,U,1,127,NA,1993-09-02
CC,U,1,112,NA,1993-09-02
CC,U,1,102,NA,1993-09-02
CC,U,1,52,NA,1993-09-02
CC,U,1,53,NA,1993-09-02
