expid,year,pkname,season_factor,highpoint,rope,o2used,days_to_high_point
EVER20103,2020,Everest,Spring,8849,0,TRUE,35
AMAD20301,2020,Ama Dablam,Autumn,6814,0,FALSE,1
AMAD20302,2020,Ama Dablam,Autumn,6814,0,FALSE,9
AMAD20303,2020,Ama Dablam,Autumn,6814,0,FALSE,16
AMAD20305,2020,Ama Dablam,Autumn,6814,0,FALSE,3
AMAD20307,2020,Ama Dablam,Autumn,6814,0,FALSE,10
AMAD20401,2020,Ama Dablam,Winter,6814,0,FALSE,13
CHOY20301,2020,Cho Oyu,Autumn,8188,0,TRUE,16
GYLZ20301,2020,Gyalzen Peak,Autumn,6151,0,FALSE,2
HIML20302,2020,Himlung Himal,Autumn,7126,0,FALSE,14
MANA20301,2020,Manaslu,Autumn,8163,0,TRUE,7
ANN121101,2021,Annapurna I,Spring,8091,0,TRUE,24
ANN121102,2021,Annapurna I,Spring,8091,0,TRUE,14
ANN121103,2021,Annapurna I,Spring,8091,0,TRUE,12
ANN121104,2021,Annapurna I,Spring,8091,0,TRUE,14
ANN121105,2021,Annapurna I,Spring,8091,0,TRUE,24
ANN121106,2021,Annapurna I,Spring,8091,0,TRUE,19
BARU21105,2021,Baruntse,Spring,7152,0,FALSE,4
EVER21102,2021,Everest,Spring,8849,0,TRUE,43
EVER21103,2021,Everest,Spring,8849,0,TRUE,51
EVER21104,2021,Everest,Spring,8849,0,TRUE,40
EVER21105,2021,Everest,Spring,8849,0,TRUE,24
EVER21106,2021,Everest,Spring,8849,0,TRUE,26
EVER21108,2021,Everest,Spring,8849,0,TRUE,44
EVER21109,2021,Everest,Spring,8849,0,TRUE,27
EVER21111,2021,Everest,Spring,8849,0,TRUE,19
EVER21112,2021,Everest,Spring,8849,0,TRUE,30
EVER21113,2021,Everest,Spring,8849,0,TRUE,41
EVER21114,2021,Everest,Spring,8849,0,TRUE,30
EVER21115,2021,Everest,Spring,8849,0,TRUE,15
EVER21120,2021,Everest,Spring,8849,0,TRUE,28
EVER21121,2021,Everest,Spring,8849,0,TRUE,52
EVER21122,2021,Everest,Spring,8849,0,TRUE,38
EVER21124,2021,Everest,Spring,8849,0,TRUE,47
EVER21128,2021,Everest,Spring,8849,0,TRUE,13
EVER21129,2021,Everest,Spring,8849,0,TRUE,14
EVER21130,2021,Everest,Spring,8849,0,TRUE,27
EVER21131,2021,Everest,Spring,8849,0,TRUE,30
EVER21132,2021,Everest,Spring,8849,0,TRUE,13
EVER21133,2021,Everest,Spring,8849,0,TRUE,46
EVER21136,2021,Everest,Spring,8849,0,TRUE,38
