date,time,datetime,depth_m,salinity_ppt,ph,do_mg_l,turb_ntu,chl_ug_l,t_c
7/1/15,0:00:24,7/1/15 0:00,0.741,0.12,8.53,10.16,1.9,4.3,24.92
7/1/15,0:15:24,7/1/15 0:15,0.706,0.12,8.45,9.91,2,3.8,24.89
7/1/15,0:30:24,7/1/15 0:30,0.687,0.12,8.38,9.68,1.9,4.3,24.87
7/1/15,0:45:24,7/1/15 0:45,0.684,0.12,8.29,9.47,2,4.3,24.83
7/1/15,1:00:23,7/1/15 1:00,0.73,0.12,7.94,8.49,6.1,10.7,24.66
7/1/15,1:15:24,7/1/15 1:15,0.683,0.12,7.67,7.9,6.1,11.6,24.3
7/1/15,1:30:24,7/1/15 1:30,0.664,0.12,7.75,8.07,5.3,20.7,24.39
7/1/15,1:45:24,7/1/15 1:45,0.659,0.12,7.78,8.02,4.8,5.5,24.36
7/1/15,2:00:24,7/1/15 2:00,0.724,0.12,7.81,8,4.5,5.1,24.36
7/1/15,2:15:24,7/1/15 2:15,0.782,0.12,7.76,7.88,3.9,27.4,24.22
7/1/15,2:30:24,7/1/15 2:30,0.78,0.12,7.71,7.77,4.3,4.4,24.11
7/1/15,2:45:24,7/1/15 2:45,0.762,0.12,7.69,7.69,3.7,4.4,24.04
7/1/15,3:00:23,7/1/15 3:00,0.749,0.12,7.67,7.65,3.6,4.1,23.91
7/1/15,3:15:24,7/1/15 3:15,0.77,0.12,7.66,7.56,3.4,4.4,23.83
7/1/15,3:30:24,7/1/15 3:30,0.807,0.12,7.65,7.53,3.6,14.9,23.8
7/1/15,3:45:23,7/1/15 3:45,0.838,0.12,7.65,7.47,3.5,25.9,23.78
7/1/15,4:00:24,7/1/15 4:00,0.852,0.12,7.65,7.5,3.6,5.2,23.74
7/1/15,4:15:24,7/1/15 4:15,0.865,0.12,7.65,7.44,3.6,6.2,23.73
7/1/15,4:30:24,7/1/15 4:30,0.893,0.12,7.64,7.38,3.1,5.6,23.73
7/1/15,4:45:24,7/1/15 4:45,0.917,0.12,7.64,7.28,3.1,5,23.73
7/1/15,5:00:24,7/1/15 5:00,0.946,0.12,7.64,7.29,3,4.7,23.71
7/1/15,5:15:24,7/1/15 5:15,0.972,0.12,7.64,7.26,3.5,7.8,23.71
7/1/15,5:30:24,7/1/15 5:30,0.995,0.12,7.65,7.21,2.9,4.5,23.71
7/1/15,5:45:24,7/1/15 5:45,1.021,0.12,7.66,7.19,2.9,6.3,23.73
7/1/15,6:00:24,7/1/15 6:00,1.056,0.12,7.68,7.21,2.9,8.2,23.74
7/1/15,6:15:24,7/1/15 6:15,1.09,0.12,7.69,7.19,2.8,15.3,23.75
7/1/15,6:30:23,7/1/15 6:30,1.122,0.12,7.72,7.21,2.9,8.4,23.75
7/1/15,6:45:24,7/1/15 6:45,1.148,0.12,7.76,7.29,2.9,11.4,23.77
7/1/15,7:00:24,7/1/15 7:00,1.176,0.12,7.83,7.48,2.7,10.8,23.79
7/1/15,7:15:24,7/1/15 7:15,1.199,0.12,7.92,7.71,2.7,10.2,23.82
7/1/15,7:30:24,7/1/15 7:30,1.22,0.12,8.01,7.96,2.5,3.5,23.85
7/1/15,7:45:24,7/1/15 7:45,1.237,0.12,8.07,8.04,2.5,4.9,23.89
7/1/15,8:00:24,7/1/15 8:00,1.242,0.12,8.15,8.17,2.5,3.9,23.91
7/1/15,8:15:24,7/1/15 8:15,1.239,0.12,8.15,8.2,2.3,3.4,23.91
