datetime,ph
5/21/24 9:50,8.05
5/21/24 9:55,8.06
5/21/24 10:00,8.01
5/21/24 10:05,8.05
5/21/24 10:10,8.03
5/21/24 10:15,8.05
5/21/24 10:20,8.05
5/21/24 10:25,8.03
5/21/24 10:30,8.03
5/21/24 10:35,8.03
5/21/24 10:40,8.53
5/21/24 10:45,8.53
5/21/24 10:50,8.55
5/21/24 10:55,8.52
5/21/24 11:00,8.49
5/21/24 11:05,8.47
5/21/24 11:10,8.47
5/21/24 11:15,8.47
5/21/24 11:20,8.47
5/21/24 11:25,8.5
5/21/24 11:30,8.52
5/21/24 11:35,8.52
5/21/24 11:40,8.52
5/21/24 11:45,8.52
5/21/24 11:50,8.51
5/21/24 11:55,8.51
5/21/24 12:00,8.5
5/21/24 12:05,8.49
5/21/24 12:10,8.48
5/21/24 12:15,8.48
5/21/24 12:20,8.47
5/21/24 12:25,8.47
5/21/24 12:30,8.47
5/21/24 12:35,8.46
5/21/24 12:40,8.45
5/21/24 12:45,8.45
5/21/24 12:50,8.44
5/21/24 12:55,8.44
5/21/24 13:00,8.43
5/21/24 13:05,8.42
5/21/24 13:10,8.42
5/21/24 13:15,8.42
5/21/24 13:20,8.42
5/21/24 13:25,8.42
5/21/24 13:30,8.41
5/21/24 13:35,8.39
5/21/24 13:40,8.19
5/21/24 13:45,8.23
5/21/24 13:50,8.31
5/21/24 13:55,8.39
5/21/24 14:00,8.46
5/21/24 14:05,8.51
5/21/24 14:10,8.57
5/21/24 14:15,8.62
5/21/24 14:20,8.58
5/21/24 14:25,8.53
5/21/24 14:30,8.49
5/21/24 14:35,8.48
5/21/24 14:40,8.47
5/21/24 14:45,8.48
5/21/24 14:50,8.5
