datetime,ph,site
5/21/24 9:50,8.06,b
5/21/24 9:55,8.07,b
5/21/24 10:00,8.03,b
5/21/24 10:05,8.07,b
5/21/24 10:10,8.06,b
5/21/24 10:15,8.07,b
5/21/24 10:20,8.07,b
5/21/24 10:25,8.04,b
5/21/24 10:30,8.05,b
5/21/24 10:35,8.05,b
5/21/24 10:40,8.06,b
5/21/24 10:45,8.04,b
5/21/24 10:50,8.05,b
5/21/24 10:55,8.05,b
5/21/24 11:00,8.04,b
5/21/24 11:05,8.04,b
5/21/24 11:10,8.05,b
5/21/24 11:15,8.04,b
5/21/24 11:20,8.04,b
5/21/24 11:25,8.04,b
5/21/24 11:30,8.59,b
5/21/24 11:35,8.59,b
5/21/24 11:40,8.62,b
5/21/24 11:45,8.66,b
5/21/24 11:50,8.68,b
5/21/24 11:55,8.71,b
5/21/24 12:00,8.73,b
5/21/24 12:05,8.74,b
5/21/24 12:10,8.77,b
5/21/24 12:15,8.79,b
5/21/24 12:20,8.81,b
5/21/24 12:25,8.83,b
5/21/24 12:30,8.85,b
5/21/24 12:35,8.86,b
5/21/24 12:40,8.88,b
5/21/24 12:45,8.89,b
5/21/24 12:50,8.9,b
5/21/24 12:55,8.92,b
5/21/24 13:00,8.93,b
5/21/24 13:05,8.95,b
5/21/24 13:10,8.97,b
5/21/24 13:15,8.98,b
5/21/24 13:20,9,b
5/21/24 13:25,9.02,b
5/21/24 13:30,9.03,b
5/21/24 13:35,9.05,b
5/21/24 13:40,9.08,b
5/21/24 13:45,9.09,b
5/21/24 13:50,9.11,b
5/21/24 13:55,9.13,b
5/21/24 14:00,9.15,b
5/21/24 14:05,9.17,b
5/21/24 14:10,9.09,b
5/21/24 14:15,9.08,b
5/21/24 14:20,8.61,b
5/21/24 14:25,8.66,b
5/21/24 14:30,8.49,b
5/21/24 14:35,8.47,b
5/21/24 14:40,8.42,b
5/21/24 14:45,8.37,b
5/21/24 14:50,8.34,b
