datetime,ph,site
5/22/24 9:50,7.03,c
5/22/24 9:55,7.02,c
5/22/24 10:00,7.02,c
5/22/24 10:05,7.02,c
5/22/24 10:10,7.01,c
5/22/24 10:15,7.01,c
5/22/24 10:20,7.01,c
5/22/24 10:25,7.01,c
5/22/24 10:30,7.01,c
5/22/24 10:35,7,c
5/22/24 10:40,7,c
5/22/24 10:45,7,c
5/22/24 10:50,7.01,c
5/22/24 10:55,7,c
5/22/24 11:00,7,c
5/22/24 11:05,7,c
5/22/24 11:10,7,c
5/22/24 11:15,7,c
5/22/24 11:20,7,c
5/22/24 11:25,7,c
5/22/24 11:30,7,c
5/22/24 11:35,6.99,c
5/22/24 11:40,6.99,c
5/22/24 11:45,7,c
5/22/24 11:50,6.99,c
5/22/24 11:55,6.99,c
5/22/24 12:00,7,c
5/22/24 12:05,6.99,c
5/22/24 12:10,6.99,c
5/22/24 12:15,6.99,c
5/22/24 12:20,6.99,c
5/22/24 12:25,6.97,c
5/22/24 12:30,6.8,c
5/22/24 12:35,6.81,c
5/22/24 12:40,6.81,c
5/22/24 12:45,6.81,c
5/22/24 12:50,6.81,c
5/22/24 12:55,6.82,c
5/22/24 13:00,6.82,c
5/22/24 13:05,6.82,c
5/22/24 13:10,6.82,c
5/22/24 13:15,6.82,c
5/22/24 13:20,6.82,c
5/22/24 13:25,6.82,c
5/22/24 13:30,6.82,c
5/22/24 13:35,7.1,c
5/22/24 13:40,7.52,c
5/22/24 13:45,7.54,c
5/22/24 13:50,7.55,c
5/22/24 13:55,7.57,c
5/22/24 14:00,7.59,c
5/22/24 14:05,7.61,c
5/22/24 14:10,7.71,c
5/22/24 14:15,7.69,c
5/22/24 14:20,7.68,c
5/22/24 14:25,7.68,c
5/22/24 14:30,7.68,c
5/22/24 14:35,7.68,c
5/22/24 14:40,7.67,c
5/22/24 14:45,7.68,c
5/22/24 14:50,7.67,c
